S	C	CS	SM	CM	CSM	Mrainfall	WetQuarter	WetDry	MeanTemp	ColdMonth	WarmMonth
71	20	0.28				1700	1120	0.66	27.4	18.1	33.9
16	60	3.75	18	61	3.39	1400	424	0.30	16.6	6.3	26.2
40	50	1.25			 	1170	696	0.59	23	14.3	29.5
61	24	0.39	52	39	0.75	900	450	0.50	28	21.1	31.6
52	24	0.46				450	266	0.59	21.4	6.2	33.4
65	23	0.35				735	422	0.57	21.9	5.4	35.1
63	16	0.25				270	193	0.71	20.8	8.8	30.2
51	33	0.65				1050	727	0.69	25.5	13.9	36.6
15	57	3.80				2430	1356	0.56	27	20.8	33.7
75	16	0.21				500	253	0.51	23	9.2	33.1
42	37	0.88				500	253	0.51	22.9	9.2	33.1
71	20	0.28				1100	763	0.69	25.8	15	35.1
32	44	1.38				1800	681	0.38	19	10.2	27.2
35	45	1.29				1200	447	0.37	23.3	16.6	32
60	30	0.50				730	519	0.71	21.8	9	33.3
39	34	0.87				1080	737	0.68	27.9	16.2	40.5
40	36	0.90				2370	773	0.33	27	21.8	32.5
4	18	4.50				1150	392	0.34	21.8	9.1	34.4
65	21	0.32				354	202	0.57	20.2	8.1	34.5
40	25	0.63				1231	511	0.42	18.1	5.1	29.1
46	25	0.54				387	251	0.65	25.4	9.6	37.9
71	20	0.28				1505	966	0.64	27.3	17.3	34.4
73	9	0.12				383	235	0.61	26.2	10	39.1
53	34	0.64				974	544	0.56	16.7	6.3	31.8
