S	C	CS	SM	CM	CSM	Mrainfall	WetQuarter	WetDry	MeanTemp	ColdMonth	WarmMonth
49	33	0.67			 	1080	478	0.44	30	19.5	35.9
82	16	0.20			 	1400	699	0.50	20.4	9.5	29
40	36	0.90			 	2000	706	0.35	26.6	21.1	32.1
40	36	0.90			 	2700	1063	0.39	26.8	21.9	32.5
60	10	0.17	65	6	0.09	1100	704	0.64	23	19	38.4
45	36	0.80			 	850	560	0.66	17.9	5.5	28.2
56	33	0.59			 	940	676	0.72	26.7	14.4	37.1
34	62	1.82			 	2479	836	0.34	26.7	22.4	32.7
32	44	1.38			 	1800	681	0.38	19	10.2	27.2
32	44	1.38			 	1800	681	0.38	22	10.2	27.2
59	28	0.47			 	1000	257	0.26	8.9	-2.7	23.6
35	45	1.29			 	1200	447	0.37	23.3	16.6	32
39	34	0.87			 	1080	737	0.68	27.9	16.2	40.5
56	29	0.52			 	2080	946	0.45	26.1	19.8	32.1
38	47	1.24			 	1150	784	0.68	26.5	16.6	38.2
33	39	1.18	23	48	2.09	1270	623	0.49	20	17.2	29
71	20	0.28			 	1700	1120	0.66	27.4	18.1	33.9
36	28	0.78			 	2340	1463	0.63	27.3	17.8	36.7
69	15	0.22				274	90	0.33	17.3	6.9	27.9
36	42	1.17				1111	730	0.66	24.1	13.2	31.7
73	9	0.12				383	235	0.61	26.2	10	39.1
