Mound_ID,Mound_ID,Mound_Shape,Mound_Shape_XLS,Marker,Soil_Sand_Percentage,Soil_Clay_Percentage,Soil_Clay_to_Soil_Ratio,Mound_Sand_Percent,Mound_Clay_Percent,Mound_Clay_to_Soil_Ratio,Mean_Annual_RainFall,Wettest_Quarter_RainFall,Annual_Quarter_RainFall_Ratio,Mean_Annual_Temperature,Coldest_Month_Temperature,Warmest_Month_Temperature,Köppen_Class,Cone_Size,Cone_Stren
1A,1,Cathedral,Cathedral,,49,33,0.67,,, ,1080,478,0.44,30,19.5,35.9,Aw,0,0
1B,1,Dome,Dome,,49,33,0.67,,, ,1080,478,0.44,30,19.5,35.9,Aw,0,0
2,2,Cone,Cone,,71,20,0.28,,, ,1700,1120,0.66,27.4,18.1,33.9,Aw,Medium,Strong
3,3,Cathedral,Cathedral,,36,37,1.03,46,10,0.22,960,622,0.65,27.8,16.7,37.9,Aw,0,0
4,4,Cone,Cone,,16,60,3.75,18,61,3.39,1400,424,0.3,16.6,6.3,26.2,Cfn,Small,Medium
5,5,Cone,Cone,,40,50,1.25,,, ,1170,696,0.59,23,14.3,29.5,Aw,Small,Low
6,6,Dome,Dome,,82,16,0.2,,, ,1400,699,0.5,20.4,9.5,29,Cwb,0,0
7,7,Mushroom,Mushroom,,51,35,0.69,,, ,1510,695,0.46,24.2,15.5,34.2,Aw,0,0
8A,8,Cone,Cone,,61,24,0.39,52,39,0.75,900,450,0.5,28,21.1,31.6,Aw,Large,Strong
8B,8,Cathedral,Cathedral,,61,24,0.39,52,39,0.75,900,450,0.5,28,21.1,31.6,Aw,Large,Strong
9,9,Cathedral,Cathedral,,79,10,0.13,68,11,0.16,1200,520,0.43,26.9,21,34.1,Aw,0,0
10,10,Dome,Dome,,40,36,0.9,,, ,2000,706,0.35,26.6,21.1,32.1,Af,0,0
11,11,Dome,Dome,*,40,36,0.9,,, ,2700,1063,0.39,26.8,21.9,32.5,Af,0,0
12,12,Cone,Cone,,52,24,0.46,,, ,450,266,0.59,21.4,6.2,33.4,BSh,Large,Strong
13,13,Cone,Cone,,65,23,0.35,,, ,735,422,0.57,21.9,5.4,35.1,BSh,Large,Strong
