S	C	CS	SM	CM	CSM	Mrainfall	WetQuarter	WetDry	MeanTemp	ColdMonth	WarmMonth
49	33	0.67			 	1080	478	0.44	30	19.5	35.9
36	37	1.03	46	10	0.22	960	622	0.65	27.8	16.7	37.9
61	24	0.39	52	39	0.75	900	450	0.50	28	21.1	31.6
79	10	0.13	68	11	0.16	1200	520	0.43	26.9	21	34.1
72	22	0.31	60	31	0.52	1100	650	0.59	23	19.6	37.5
66	23	0.35	59	34	0.58	1100	704	0.64	23	19	38.4
44	21	0.48			 	1400	893	0.64	27.5	16.3	36.8
45	20	0.44			 	1900	1290	0.68	30	9.3	35.8
35	45	1.29			 	1200	447	0.37	23.3	16.6	32
39	34	0.87			 	1080	737	0.68	27.9	16.2	40.5
38	39	1.03				784	431	0.55	23.6	14.4	33.9
